,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
256,193845,9.186382671224106,RH,V1d,V1,dorsal
257,195041,21.377370249122336,RH,V1d,V1,dorsal
258,196144,31.394681307294416,RH,V1d,V1,dorsal
259,197348,11.536277084539783,RH,V1d,V1,dorsal
260,198653,16.545540523124135,RH,V1d,V1,dorsal
261,199655,17.183253919294547,RH,V1d,V1,dorsal
262,200210,14.29720372619757,RH,V1d,V1,dorsal
263,200311,16.651004176574183,RH,V1d,V1,dorsal
264,200614,7.794169929627712,RH,V1d,V1,dorsal
265,201515,13.184463553018302,RH,V1d,V1,dorsal
266,203418,36.51742131531566,RH,V1d,V1,dorsal
267,204521,24.723774528695962,RH,V1d,V1,dorsal
268,205220,17.73993933982882,RH,V1d,V1,dorsal
269,209228,13.139465929541998,RH,V1d,V1,dorsal
270,212419,8.841900534747452,RH,V1d,V1,dorsal
271,214019,15.280761438585882,RH,V1d,V1,dorsal
272,214524,11.847771283410697,RH,V1d,V1,dorsal
273,221319,11.116465973852684,RH,V1d,V1,dorsal
274,233326,13.286044430838645,RH,V1d,V1,dorsal
275,239136,25.998697667376426,RH,V1d,V1,dorsal
276,246133,35.58275520855716,RH,V1d,V1,dorsal
277,249947,12.653571537351795,RH,V1d,V1,dorsal
278,251833,16.640105497051767,RH,V1d,V1,dorsal
279,257845,13.016119315592432,RH,V1d,V1,dorsal
280,263436,17.200209082754853,RH,V1d,V1,dorsal
281,283543,9.813623352008836,RH,V1d,V1,dorsal
282,318637,12.152740986872915,RH,V1d,V1,dorsal
283,320826,8.786081359843058,RH,V1d,V1,dorsal
284,330324,14.373521113086957,RH,V1d,V1,dorsal
285,346137,14.73291844888086,RH,V1d,V1,dorsal
286,352738,9.842819440912304,RH,V1d,V1,dorsal
287,360030,12.225449797854974,RH,V1d,V1,dorsal
288,365343,8.526543287000935,RH,V1d,V1,dorsal
289,380036,16.337964349699913,RH,V1d,V1,dorsal
290,381038,12.343564750656963,RH,V1d,V1,dorsal
291,385046,12.718946359568182,RH,V1d,V1,dorsal
292,389357,11.733161084529087,RH,V1d,V1,dorsal
293,393247,13.135668721383633,RH,V1d,V1,dorsal
294,395756,18.35133992332527,RH,V1d,V1,dorsal
295,397760,16.43983182215473,RH,V1d,V1,dorsal
296,401422,14.365053537195193,RH,V1d,V1,dorsal
297,406836,11.40260174689966,RH,V1d,V1,dorsal
298,412528,13.519460135841724,RH,V1d,V1,dorsal
299,429040,21.754116005512156,RH,V1d,V1,dorsal
300,436845,8.312752179983047,RH,V1d,V1,dorsal
301,463040,10.58956289888388,RH,V1d,V1,dorsal
302,467351,12.346885507383277,RH,V1d,V1,dorsal
303,525541,11.799601117488326,RH,V1d,V1,dorsal
304,536647,10.354167846530043,RH,V1d,V1,dorsal
305,541943,32.882311908589415,RH,V1d,V1,dorsal
306,547046,14.080504596667929,RH,V1d,V1,dorsal
307,550439,11.514751323784122,RH,V1d,V1,dorsal
308,552241,19.822609127544595,RH,V1d,V1,dorsal
309,562345,10.458018245929711,RH,V1d,V1,dorsal
310,572045,13.49640530434142,RH,V1d,V1,dorsal
311,573249,17.071213805884256,RH,V1d,V1,dorsal
312,581450,17.692156743953827,RH,V1d,V1,dorsal
313,585256,18.49443337952383,RH,V1d,V1,dorsal
314,601127,17.586179871377116,RH,V1d,V1,dorsal
315,617748,13.284660106081065,RH,V1d,V1,dorsal
316,627549,28.37035502810988,RH,V1d,V1,dorsal
317,638049,10.405945750618761,RH,V1d,V1,dorsal
318,644246,12.732663471553321,RH,V1d,V1,dorsal
319,654552,12.78108972919787,RH,V1d,V1,dorsal
320,671855,13.439741700530334,RH,V1d,V1,dorsal
321,680957,11.476892939683438,RH,V1d,V1,dorsal
322,690152,22.400190983103254,RH,V1d,V1,dorsal
323,706040,20.22834492375735,RH,V1d,V1,dorsal
324,724446,9.809438838443432,RH,V1d,V1,dorsal
325,725751,11.337921882004697,RH,V1d,V1,dorsal
326,732243,14.559389211207431,RH,V1d,V1,dorsal
327,751550,14.498039861546978,RH,V1d,V1,dorsal
328,757764,10.68449627475821,RH,V1d,V1,dorsal
329,765864,20.307018134044892,RH,V1d,V1,dorsal
330,770352,11.220429612431998,RH,V1d,V1,dorsal
331,771354,12.104915171791792,RH,V1d,V1,dorsal
332,782561,19.985206878038056,RH,V1d,V1,dorsal
333,783462,13.294956951719978,RH,V1d,V1,dorsal
334,789373,13.815720295243977,RH,V1d,V1,dorsal
335,814649,11.135272191815321,RH,V1d,V1,dorsal
336,818859,11.086416641119143,RH,V1d,V1,dorsal
337,825048,12.778966901815927,RH,V1d,V1,dorsal
338,826353,11.727365972995845,RH,V1d,V1,dorsal
339,833249,10.480352711366725,RH,V1d,V1,dorsal
340,859671,19.639705626071763,RH,V1d,V1,dorsal
341,861456,13.047802560405211,RH,V1d,V1,dorsal
342,871762,12.236475577693376,RH,V1d,V1,dorsal
343,872764,12.641820324112988,RH,V1d,V1,dorsal
344,878776,13.572068716072655,RH,V1d,V1,dorsal
345,878877,8.687572368706006,RH,V1d,V1,dorsal
346,898176,9.224995193258016,RH,V1d,V1,dorsal
347,899885,9.73762177022319,RH,V1d,V1,dorsal
348,901139,14.513578149987259,RH,V1d,V1,dorsal
349,901442,15.703298403264995,RH,V1d,V1,dorsal
350,905147,15.663237586426085,RH,V1d,V1,dorsal
351,910241,32.30214299088494,RH,V1d,V1,dorsal
352,926862,12.122606695143343,RH,V1d,V1,dorsal
353,927359,10.520754924189616,RH,V1d,V1,dorsal
354,942658,20.930846943989327,RH,V1d,V1,dorsal
355,943862,26.691711502088385,RH,V1d,V1,dorsal
356,951457,11.073034477937119,RH,V1d,V1,dorsal
357,958976,42.28839375930887,RH,V1d,V1,dorsal
358,966975,13.302548927331449,RH,V1d,V1,dorsal
359,971160,16.173058591819697,RH,V1d,V1,dorsal
360,973770,12.669777224755855,RH,V1d,V1,dorsal
361,995174,14.117053419741707,RH,V1d,V1,dorsal
362,100610,22.226759387814624,LH,V2d,V2,dorsal
363,102311,28.280240220186137,LH,V2d,V2,dorsal
364,102816,20.729442903797306,LH,V2d,V2,dorsal
365,104416,22.150216602753552,LH,V2d,V2,dorsal
366,105923,18.99467364245295,LH,V2d,V2,dorsal
367,108323,19.641985377194356,LH,V2d,V2,dorsal
368,109123,23.519764887819182,LH,V2d,V2,dorsal
369,111312,17.762548029880378,LH,V2d,V2,dorsal
370,111514,23.802969739833426,LH,V2d,V2,dorsal
371,114823,17.227661113821696,LH,V2d,V2,dorsal
372,115017,15.102326451292477,LH,V2d,V2,dorsal
373,115825,26.870205634194086,LH,V2d,V2,dorsal
374,116726,34.61364461018909,LH,V2d,V2,dorsal
375,118225,36.68576466614515,LH,V2d,V2,dorsal
376,125525,36.8531575024263,LH,V2d,V2,dorsal
377,126426,20.214889774357193,LH,V2d,V2,dorsal
378,128935,31.569594176471025,LH,V2d,V2,dorsal
379,130114,30.543073757710097,LH,V2d,V2,dorsal
380,130518,22.367264374129377,LH,V2d,V2,dorsal
381,131217,22.75986995184325,LH,V2d,V2,dorsal
382,131722,32.12264729418436,LH,V2d,V2,dorsal
383,132118,16.47200771063591,LH,V2d,V2,dorsal
384,134627,31.63908903178532,LH,V2d,V2,dorsal
385,134829,33.124880844684974,LH,V2d,V2,dorsal
386,135124,23.731713942317505,LH,V2d,V2,dorsal
387,137128,25.678571872415013,LH,V2d,V2,dorsal
388,140117,27.868442530204895,LH,V2d,V2,dorsal
389,144226,26.489869668060702,LH,V2d,V2,dorsal
390,145834,17.794322122813465,LH,V2d,V2,dorsal
391,146129,19.00351642691803,LH,V2d,V2,dorsal
